train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,96.875,0.993579454253612,96,96.875
4,96.875,0.995184590690209,96,96.875
6,96.875,0.993579454253612,96,96.875
8,96.875,0.995184590690209,96,96.875
10,96.875,0.995184590690209,96,96.875
12,96.875,0.993579454253612,96,96.875
14,96.875,0.993579454253612,96,96.875
16,96.875,0.993579454253612,96,96.875
18,96.875,0.993579454253612,96,96.875
20,96.875,0.993579454253612,96,96.875
25,96.875,0.991974317817014,96,96.875
30,96.875,0.993579454253612,96,96.875
35,96.875,0.993579454253612,96,96.875
40,96.875,0.993579454253612,96,96.875
45,96.875,0.993579454253612,96,96.875
50,96.875,0.98876404494382,96,96.875
55,98.9583333333333,0.991974317817014,96,98.9583333333334
60,98.9583333333333,0.991974317817014,96,98.9583333333334
