n,accuracy,cov,mean,lik
4,95.8333333333333,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
5,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
6,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
7,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
8,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
9,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
10,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
11,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
12,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
13,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
14,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
15,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
16,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
17,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
18,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
19,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
20,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
21,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
22,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
23,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
24,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
25,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
26,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
27,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
28,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
29,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
30,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
31,97.9166666666667,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
32,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
33,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
34,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
35,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
36,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
37,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
38,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
39,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
40,96.875,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
41,98.9583333333333,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
42,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
43,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
44,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
45,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
46,97.9166666666667,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
47,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
48,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
49,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
50,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
51,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
52,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
53,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
54,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
55,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
56,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
57,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
58,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
59,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
60,96.875,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
