train.size,model,accuracy.percent
2,baseline_0,7.29166666666667
2,unsup_BIC_1,82.2916666666667
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,17.7083333333333
4,unsup_BIC_1,82.2916666666667
4,unreg_linear_1,17.7083333333333
4,unreg_linear_2,17.7083333333333
4,L1reg_linear_117,
6,baseline_0,57.2916666666667
6,unsup_BIC_1,82.2916666666667
6,unreg_linear_1,52.0833333333333
6,unreg_linear_2,56.25
6,L1reg_linear_117,
8,baseline_0,57.2916666666667
8,unsup_BIC_1,82.2916666666667
8,unreg_linear_1,52.0833333333333
8,unreg_linear_2,56.25
8,L1reg_linear_117,
10,baseline_0,36.4583333333333
10,unsup_BIC_1,82.2916666666667
10,unreg_linear_1,52.0833333333333
10,unreg_linear_2,56.25
10,L1reg_linear_117,54.1666666666667
12,baseline_0,36.4583333333333
12,unsup_BIC_1,82.2916666666667
12,unreg_linear_1,56.25
12,unreg_linear_2,63.5416666666667
12,L1reg_linear_117,51.0416666666667
14,baseline_0,36.4583333333333
14,unsup_BIC_1,82.2916666666667
14,unreg_linear_1,58.3333333333333
14,unreg_linear_2,65.625
14,L1reg_linear_117,53.125
16,baseline_0,17.7083333333333
16,unsup_BIC_1,82.2916666666667
16,unreg_linear_1,50
16,unreg_linear_2,96.875
16,L1reg_linear_117,52.0833333333333
18,baseline_0,17.7083333333333
18,unsup_BIC_1,82.2916666666667
18,unreg_linear_1,70.8333333333334
18,unreg_linear_2,92.7083333333333
18,L1reg_linear_117,53.125
20,baseline_0,17.7083333333333
20,unsup_BIC_1,82.2916666666667
20,unreg_linear_1,70.8333333333334
20,unreg_linear_2,92.7083333333333
20,L1reg_linear_117,52.0833333333333
25,baseline_0,17.7083333333333
25,unsup_BIC_1,82.2916666666667
25,unreg_linear_1,70.8333333333334
25,unreg_linear_2,92.7083333333333
25,L1reg_linear_117,48.9583333333333
30,baseline_0,17.7083333333333
30,unsup_BIC_1,82.2916666666667
30,unreg_linear_1,70.8333333333334
30,unreg_linear_2,92.7083333333333
30,L1reg_linear_117,52.0833333333333
35,baseline_0,51.0416666666667
35,unsup_BIC_1,82.2916666666667
35,unreg_linear_1,96.875
35,unreg_linear_2,92.7083333333333
35,L1reg_linear_117,51.0416666666667
40,baseline_0,73.9583333333334
40,unsup_BIC_1,82.2916666666667
40,unreg_linear_1,96.875
40,unreg_linear_2,92.7083333333333
40,L1reg_linear_117,96.875
45,baseline_0,73.9583333333334
45,unsup_BIC_1,82.2916666666667
45,unreg_linear_1,96.875
45,unreg_linear_2,92.7083333333333
45,L1reg_linear_117,96.875
50,baseline_0,73.9583333333334
50,unsup_BIC_1,82.2916666666667
50,unreg_linear_1,96.875
50,unreg_linear_2,92.7083333333333
50,L1reg_linear_117,96.875
55,baseline_0,73.9583333333334
55,unsup_BIC_1,82.2916666666667
55,unreg_linear_1,96.875
55,unreg_linear_2,92.7083333333333
55,L1reg_linear_117,97.9166666666667
60,baseline_0,73.9583333333334
60,unsup_BIC_1,82.2916666666667
60,unreg_linear_1,96.875
60,unreg_linear_2,92.7083333333333
60,L1reg_linear_117,96.875
65,baseline_0,66.6666666666667
65,unsup_BIC_1,82.2916666666667
65,unreg_linear_1,96.875
65,unreg_linear_2,92.7083333333333
65,L1reg_linear_117,96.875
70,baseline_0,66.6666666666667
70,unsup_BIC_1,82.2916666666667
70,unreg_linear_1,96.875
70,unreg_linear_2,92.7083333333333
70,L1reg_linear_117,96.875
75,baseline_0,66.6666666666667
75,unsup_BIC_1,82.2916666666667
75,unreg_linear_1,96.875
75,unreg_linear_2,92.7083333333333
75,L1reg_linear_117,96.875
80,baseline_0,66.6666666666667
80,unsup_BIC_1,82.2916666666667
80,unreg_linear_1,96.875
80,unreg_linear_2,96.875
80,L1reg_linear_117,96.875
85,baseline_0,66.6666666666667
85,unsup_BIC_1,82.2916666666667
85,unreg_linear_1,95.8333333333333
85,unreg_linear_2,96.875
85,L1reg_linear_117,96.875
90,baseline_0,66.6666666666667
90,unsup_BIC_1,82.2916666666667
90,unreg_linear_1,95.8333333333333
90,unreg_linear_2,96.875
90,L1reg_linear_117,96.875
95,baseline_0,66.6666666666667
95,unsup_BIC_1,82.2916666666667
95,unreg_linear_1,95.8333333333333
95,unreg_linear_2,96.875
95,L1reg_linear_117,96.875
100,baseline_0,66.6666666666667
100,unsup_BIC_1,82.2916666666667
100,unreg_linear_1,95.8333333333333
100,unreg_linear_2,96.875
100,L1reg_linear_117,95.8333333333333
200,baseline_0,30.2083333333333
200,unsup_BIC_1,82.2916666666667
200,unreg_linear_1,95.8333333333333
200,unreg_linear_2,96.875
200,L1reg_linear_117,96.875
300,baseline_0,30.2083333333333
300,unsup_BIC_1,82.2916666666667
300,unreg_linear_1,95.8333333333333
300,unreg_linear_2,96.875
300,L1reg_linear_117,96.875
400,baseline_0,30.2083333333333
400,unsup_BIC_1,82.2916666666667
400,unreg_linear_1,93.75
400,unreg_linear_2,96.875
400,L1reg_linear_117,96.875
500,baseline_0,34.375
500,unsup_BIC_1,82.2916666666667
500,unreg_linear_1,93.75
500,unreg_linear_2,96.875
500,L1reg_linear_117,96.875
600,baseline_0,34.375
600,unsup_BIC_1,82.2916666666667
600,unreg_linear_1,91.6666666666667
600,unreg_linear_2,96.875
600,L1reg_linear_117,96.875
700,baseline_0,32.2916666666667
700,unsup_BIC_1,82.2916666666667
700,unreg_linear_1,91.6666666666667
700,unreg_linear_2,96.875
700,L1reg_linear_117,96.875
800,baseline_0,39.5833333333333
800,unsup_BIC_1,82.2916666666667
800,unreg_linear_1,92.7083333333333
800,unreg_linear_2,96.875
800,L1reg_linear_117,96.875
900,baseline_0,39.5833333333333
900,unsup_BIC_1,82.2916666666667
900,unreg_linear_1,92.7083333333333
900,unreg_linear_2,96.875
900,L1reg_linear_117,95.8333333333333
1000,baseline_0,39.5833333333333
1000,unsup_BIC_1,82.2916666666667
1000,unreg_linear_1,92.7083333333333
1000,unreg_linear_2,96.875
1000,L1reg_linear_117,96.875
3322,baseline_0,42.7083333333333
3322,unsup_BIC_1,82.2916666666667
3322,unreg_linear_1,93.75
3322,unreg_linear_2,96.875
3322,L1reg_linear_117,96.875
