train.size,model,accuracy.percent
2,baseline_0,9.375
2,unsup_BIC_1,82.2916666666667
2,unreg_linear_1,17.7083333333333
2,unreg_linear_2,17.7083333333333
2,L1reg_linear_117,
4,baseline_0,9.375
4,unsup_BIC_1,82.2916666666667
4,unreg_linear_1,17.7083333333333
4,unreg_linear_2,17.7083333333333
4,L1reg_linear_117,
6,baseline_0,34.375
6,unsup_BIC_1,82.2916666666667
6,unreg_linear_1,17.7083333333333
6,unreg_linear_2,17.7083333333333
6,L1reg_linear_117,17.7083333333333
8,baseline_0,34.375
8,unsup_BIC_1,82.2916666666667
8,unreg_linear_1,18.75
8,unreg_linear_2,17.7083333333333
8,L1reg_linear_117,17.7083333333333
10,baseline_0,34.375
10,unsup_BIC_1,82.2916666666667
10,unreg_linear_1,20.8333333333333
10,unreg_linear_2,19.7916666666667
10,L1reg_linear_117,17.7083333333333
12,baseline_0,34.375
12,unsup_BIC_1,82.2916666666667
12,unreg_linear_1,19.7916666666667
12,unreg_linear_2,17.7083333333333
12,L1reg_linear_117,17.7083333333333
14,baseline_0,34.375
14,unsup_BIC_1,82.2916666666667
14,unreg_linear_1,19.7916666666667
14,unreg_linear_2,17.7083333333333
14,L1reg_linear_117,17.7083333333333
16,baseline_0,46.875
16,unsup_BIC_1,82.2916666666667
16,unreg_linear_1,35.4166666666667
16,unreg_linear_2,41.6666666666667
16,L1reg_linear_117,47.9166666666667
18,baseline_0,46.875
18,unsup_BIC_1,82.2916666666667
18,unreg_linear_1,26.0416666666667
18,unreg_linear_2,39.5833333333333
18,L1reg_linear_117,29.1666666666667
20,baseline_0,46.875
20,unsup_BIC_1,82.2916666666667
20,unreg_linear_1,22.9166666666667
20,unreg_linear_2,38.5416666666667
20,L1reg_linear_117,51.0416666666667
25,baseline_0,46.875
25,unsup_BIC_1,82.2916666666667
25,unreg_linear_1,42.7083333333333
25,unreg_linear_2,64.5833333333334
25,L1reg_linear_117,54.1666666666667
30,baseline_0,87.5
30,unsup_BIC_1,82.2916666666667
30,unreg_linear_1,96.875
30,unreg_linear_2,96.875
30,L1reg_linear_117,80.2083333333333
35,baseline_0,87.5
35,unsup_BIC_1,82.2916666666667
35,unreg_linear_1,96.875
35,unreg_linear_2,96.875
35,L1reg_linear_117,95.8333333333333
40,baseline_0,87.5
40,unsup_BIC_1,82.2916666666667
40,unreg_linear_1,96.875
40,unreg_linear_2,96.875
40,L1reg_linear_117,94.7916666666667
45,baseline_0,82.2916666666667
45,unsup_BIC_1,82.2916666666667
45,unreg_linear_1,96.875
45,unreg_linear_2,96.875
45,L1reg_linear_117,98.9583333333334
50,baseline_0,82.2916666666667
50,unsup_BIC_1,82.2916666666667
50,unreg_linear_1,96.875
50,unreg_linear_2,96.875
50,L1reg_linear_117,98.9583333333334
55,baseline_0,82.2916666666667
55,unsup_BIC_1,82.2916666666667
55,unreg_linear_1,96.875
55,unreg_linear_2,96.875
55,L1reg_linear_117,98.9583333333334
60,baseline_0,82.2916666666667
60,unsup_BIC_1,82.2916666666667
60,unreg_linear_1,96.875
60,unreg_linear_2,96.875
60,L1reg_linear_117,97.9166666666667
65,baseline_0,82.2916666666667
65,unsup_BIC_1,82.2916666666667
65,unreg_linear_1,96.875
65,unreg_linear_2,96.875
65,L1reg_linear_117,97.9166666666667
70,baseline_0,82.2916666666667
70,unsup_BIC_1,82.2916666666667
70,unreg_linear_1,96.875
70,unreg_linear_2,98.9583333333334
70,L1reg_linear_117,97.9166666666667
75,baseline_0,82.2916666666667
75,unsup_BIC_1,82.2916666666667
75,unreg_linear_1,96.875
75,unreg_linear_2,98.9583333333334
75,L1reg_linear_117,96.875
80,baseline_0,82.2916666666667
80,unsup_BIC_1,82.2916666666667
80,unreg_linear_1,96.875
80,unreg_linear_2,98.9583333333334
80,L1reg_linear_117,96.875
85,baseline_0,82.2916666666667
85,unsup_BIC_1,82.2916666666667
85,unreg_linear_1,96.875
85,unreg_linear_2,98.9583333333334
85,L1reg_linear_117,95.8333333333333
90,baseline_0,82.2916666666667
90,unsup_BIC_1,82.2916666666667
90,unreg_linear_1,96.875
90,unreg_linear_2,98.9583333333334
90,L1reg_linear_117,96.875
95,baseline_0,82.2916666666667
95,unsup_BIC_1,82.2916666666667
95,unreg_linear_1,96.875
95,unreg_linear_2,98.9583333333334
95,L1reg_linear_117,96.875
100,baseline_0,82.2916666666667
100,unsup_BIC_1,82.2916666666667
100,unreg_linear_1,96.875
100,unreg_linear_2,96.875
100,L1reg_linear_117,95.8333333333333
200,baseline_0,51.0416666666667
200,unsup_BIC_1,82.2916666666667
200,unreg_linear_1,94.7916666666667
200,unreg_linear_2,96.875
200,L1reg_linear_117,95.8333333333333
300,baseline_0,56.25
300,unsup_BIC_1,82.2916666666667
300,unreg_linear_1,94.7916666666667
300,unreg_linear_2,96.875
300,L1reg_linear_117,95.8333333333333
400,baseline_0,60.4166666666667
400,unsup_BIC_1,82.2916666666667
400,unreg_linear_1,94.7916666666667
400,unreg_linear_2,96.875
400,L1reg_linear_117,97.9166666666667
500,baseline_0,56.25
500,unsup_BIC_1,82.2916666666667
500,unreg_linear_1,93.75
500,unreg_linear_2,96.875
500,L1reg_linear_117,96.875
600,baseline_0,60.4166666666667
600,unsup_BIC_1,82.2916666666667
600,unreg_linear_1,94.7916666666667
600,unreg_linear_2,96.875
600,L1reg_linear_117,96.875
700,baseline_0,57.2916666666667
700,unsup_BIC_1,82.2916666666667
700,unreg_linear_1,93.75
700,unreg_linear_2,96.875
700,L1reg_linear_117,96.875
800,baseline_0,57.2916666666667
800,unsup_BIC_1,82.2916666666667
800,unreg_linear_1,93.75
800,unreg_linear_2,96.875
800,L1reg_linear_117,96.875
900,baseline_0,57.2916666666667
900,unsup_BIC_1,82.2916666666667
900,unreg_linear_1,93.75
900,unreg_linear_2,96.875
900,L1reg_linear_117,95.8333333333333
1000,baseline_0,55.2083333333333
1000,unsup_BIC_1,82.2916666666667
1000,unreg_linear_1,93.75
1000,unreg_linear_2,96.875
1000,L1reg_linear_117,95.8333333333333
3322,baseline_0,42.7083333333333
3322,unsup_BIC_1,82.2916666666667
3322,unreg_linear_1,93.75
3322,unreg_linear_2,96.875
3322,L1reg_linear_117,96.875
