train.size,percent.correct.labels,auc,percent.correct.intervals
2,0,0.894540229885057,0
4,0,0.894540229885057,0
6,0,0.894540229885057,0
8,0,0.894540229885057,0
10,0,0.894540229885057,0
12,0,0.894540229885057,0
14,0,0.894540229885057,0
16,0,0.894540229885057,0
18,0,0.894540229885057,0
20,0,0.894540229885057,0
25,0,0.894540229885057,0
30,0,0.894540229885057,0
35,0,0.894540229885057,0
40,0,0.894540229885057,0
45,0,0.894540229885057,0
50,0,0.894540229885057,0
55,0,0.894540229885057,0
60,0,0.894540229885057,0
65,0,0.894540229885057,0
70,0,0.894540229885057,0
75,0,0.894540229885057,0
80,0,0.894540229885057,0
