train.size,model,accuracy.percent
2,baseline_0,7.29166666666667
2,unsup_BIC_1,82.2916666666667
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,82.2916666666667
4,unsup_BIC_1,82.2916666666667
4,unreg_linear_1,
4,unreg_linear_2,
4,L1reg_linear_117,
6,baseline_0,80.2083333333333
6,unsup_BIC_1,82.2916666666667
6,unreg_linear_1,93.75
6,unreg_linear_2,94.7916666666667
6,L1reg_linear_117,
8,baseline_0,80.2083333333333
8,unsup_BIC_1,82.2916666666667
8,unreg_linear_1,93.75
8,unreg_linear_2,94.7916666666667
8,L1reg_linear_117,
10,baseline_0,80.2083333333333
10,unsup_BIC_1,82.2916666666667
10,unreg_linear_1,93.75
10,unreg_linear_2,94.7916666666667
10,L1reg_linear_117,
12,baseline_0,80.2083333333333
12,unsup_BIC_1,82.2916666666667
12,unreg_linear_1,93.75
12,unreg_linear_2,94.7916666666667
12,L1reg_linear_117,
14,baseline_0,80.2083333333333
14,unsup_BIC_1,82.2916666666667
14,unreg_linear_1,93.75
14,unreg_linear_2,94.7916666666667
14,L1reg_linear_117,
16,baseline_0,80.2083333333333
16,unsup_BIC_1,82.2916666666667
16,unreg_linear_1,93.75
16,unreg_linear_2,94.7916666666667
16,L1reg_linear_117,73.9583333333334
18,baseline_0,80.2083333333333
18,unsup_BIC_1,82.2916666666667
18,unreg_linear_1,93.75
18,unreg_linear_2,94.7916666666667
18,L1reg_linear_117,73.9583333333334
20,baseline_0,80.2083333333333
20,unsup_BIC_1,82.2916666666667
20,unreg_linear_1,93.75
20,unreg_linear_2,94.7916666666667
20,L1reg_linear_117,87.5
25,baseline_0,80.2083333333333
25,unsup_BIC_1,82.2916666666667
25,unreg_linear_1,94.7916666666667
25,unreg_linear_2,90.625
25,L1reg_linear_117,86.4583333333333
30,baseline_0,80.2083333333333
30,unsup_BIC_1,82.2916666666667
30,unreg_linear_1,94.7916666666667
30,unreg_linear_2,90.625
30,L1reg_linear_117,85.4166666666667
35,baseline_0,80.2083333333333
35,unsup_BIC_1,82.2916666666667
35,unreg_linear_1,94.7916666666667
35,unreg_linear_2,96.875
35,L1reg_linear_117,92.7083333333333
40,baseline_0,80.2083333333333
40,unsup_BIC_1,82.2916666666667
40,unreg_linear_1,94.7916666666667
40,unreg_linear_2,98.9583333333334
40,L1reg_linear_117,83.3333333333333
45,baseline_0,81.25
45,unsup_BIC_1,82.2916666666667
45,unreg_linear_1,94.7916666666667
45,unreg_linear_2,98.9583333333334
45,L1reg_linear_117,84.375
50,baseline_0,81.25
50,unsup_BIC_1,82.2916666666667
50,unreg_linear_1,94.7916666666667
50,unreg_linear_2,98.9583333333334
50,L1reg_linear_117,92.7083333333333
55,baseline_0,75
55,unsup_BIC_1,82.2916666666667
55,unreg_linear_1,94.7916666666667
55,unreg_linear_2,96.875
55,L1reg_linear_117,93.75
60,baseline_0,75
60,unsup_BIC_1,82.2916666666667
60,unreg_linear_1,94.7916666666667
60,unreg_linear_2,96.875
60,L1reg_linear_117,91.6666666666667
65,baseline_0,75
65,unsup_BIC_1,82.2916666666667
65,unreg_linear_1,94.7916666666667
65,unreg_linear_2,96.875
65,L1reg_linear_117,92.7083333333333
70,baseline_0,75
70,unsup_BIC_1,82.2916666666667
70,unreg_linear_1,94.7916666666667
70,unreg_linear_2,96.875
70,L1reg_linear_117,93.75
75,baseline_0,75
75,unsup_BIC_1,82.2916666666667
75,unreg_linear_1,94.7916666666667
75,unreg_linear_2,96.875
75,L1reg_linear_117,93.75
80,baseline_0,75
80,unsup_BIC_1,82.2916666666667
80,unreg_linear_1,94.7916666666667
80,unreg_linear_2,96.875
80,L1reg_linear_117,96.875
85,baseline_0,75
85,unsup_BIC_1,82.2916666666667
85,unreg_linear_1,94.7916666666667
85,unreg_linear_2,96.875
85,L1reg_linear_117,96.875
90,baseline_0,73.9583333333334
90,unsup_BIC_1,82.2916666666667
90,unreg_linear_1,94.7916666666667
90,unreg_linear_2,96.875
90,L1reg_linear_117,96.875
95,baseline_0,73.9583333333334
95,unsup_BIC_1,82.2916666666667
95,unreg_linear_1,94.7916666666667
95,unreg_linear_2,96.875
95,L1reg_linear_117,97.9166666666667
100,baseline_0,73.9583333333334
100,unsup_BIC_1,82.2916666666667
100,unreg_linear_1,94.7916666666667
100,unreg_linear_2,96.875
100,L1reg_linear_117,96.875
200,baseline_0,63.5416666666667
200,unsup_BIC_1,82.2916666666667
200,unreg_linear_1,93.75
200,unreg_linear_2,96.875
200,L1reg_linear_117,91.6666666666667
300,baseline_0,57.2916666666667
300,unsup_BIC_1,82.2916666666667
300,unreg_linear_1,89.5833333333333
300,unreg_linear_2,96.875
300,L1reg_linear_117,90.625
400,baseline_0,63.5416666666667
400,unsup_BIC_1,82.2916666666667
400,unreg_linear_1,93.75
400,unreg_linear_2,98.9583333333334
400,L1reg_linear_117,94.7916666666667
500,baseline_0,60.4166666666667
500,unsup_BIC_1,82.2916666666667
500,unreg_linear_1,91.6666666666667
500,unreg_linear_2,98.9583333333334
500,L1reg_linear_117,93.75
600,baseline_0,61.4583333333333
600,unsup_BIC_1,82.2916666666667
600,unreg_linear_1,93.75
600,unreg_linear_2,96.875
600,L1reg_linear_117,93.75
700,baseline_0,59.375
700,unsup_BIC_1,82.2916666666667
700,unreg_linear_1,93.75
700,unreg_linear_2,96.875
700,L1reg_linear_117,95.8333333333333
800,baseline_0,55.2083333333333
800,unsup_BIC_1,82.2916666666667
800,unreg_linear_1,93.75
800,unreg_linear_2,96.875
800,L1reg_linear_117,94.7916666666667
900,baseline_0,54.1666666666667
900,unsup_BIC_1,82.2916666666667
900,unreg_linear_1,92.7083333333333
900,unreg_linear_2,96.875
900,L1reg_linear_117,94.7916666666667
1000,baseline_0,54.1666666666667
1000,unsup_BIC_1,82.2916666666667
1000,unreg_linear_1,92.7083333333333
1000,unreg_linear_2,96.875
1000,L1reg_linear_117,95.8333333333333
3322,baseline_0,42.7083333333333
3322,unsup_BIC_1,82.2916666666667
3322,unreg_linear_1,93.75
3322,unreg_linear_2,96.875
3322,L1reg_linear_117,96.875
